address,original_name,proposed_name,subsystem,confidence,rationale
00401000,FUN_00401000,TransferConfigFile,loader/config,high,Reads or writes exactly 0x30C bytes from c.wnry depending on mode.
00401064,FUN_00401064,RunHiddenProcess,loader/process,high,CreateProcessA wrapper using CREATE_NO_WINDOW and SW_HIDE; optional wait/timeout.
004010FD,FUN_004010fd,RegistryWorkingDirectory,loader/registry,high,"Stores or restores CWD under HKLM/HKCU Software\WanaCrypt0r, value wd."
00401225,FUN_00401225,GenerateHostDerivedName,loader/install,high,Seeds MSVCRT rand() with product of UTF-16 hostname characters; emits 8-15 lowercase letters plus 3 digits.
004012FD,FUN_004012fd,PayloadCryptoContext_Construct,crypto/context,medium,Constructor-like routine for RSA/AES payload context.
0040135E,FUN_0040135e,PayloadCryptoContext_DeletingDestructor,crypto/context,medium,Deleting destructor wrapper.
0040137A,FUN_0040137a,PayloadCryptoContext_Destruct,crypto/context,medium,Destroys crypto subobjects and wipes buffers.
004013CE,FUN_004013ce,SecureWipePayloadBuffers,crypto/context,high,Zeroes two 1 MiB buffers before GlobalFree.
00401437,FUN_00401437,InitializePayloadCryptoContext,crypto/context,high,Imports RSA key and allocates two 1 MiB work buffers.
004014A6,FUN_004014a6,DecryptTwnryPayload,crypto/container,high,"Parses WANACRY! container, RSA-decrypts key material, decrypts ciphertext and returns plaintext PE."
0040170A,FUN_0040170a,ResolveRequiredRuntimeAPIs,loader/api,high,Resolves CryptoAPI plus wide file APIs dynamically.
004017DD,FUN_004017dd,CryptoKeyContext_Construct,crypto/context,medium,Initializes key handles and critical section.
004017FF,FUN_004017ff,CryptoKeyContext_DeletingDestructor,crypto/context,medium,Deleting destructor wrapper.
0040181B,FUN_0040181b,CryptoKeyContext_Destruct,crypto/context,high,Deletes critical section.
0040182C,FUN_0040182c,AcquireRsaAesProvider,crypto/CryptoAPI,high,"Tries CryptAcquireContextA with default then Microsoft Enhanced RSA and AES provider, PROV_RSA_AES, CRYPT_VERIFYCONTEXT."
00401861,FUN_00401861,ImportRsaPrivateKey,crypto/CryptoAPI,high,Imports embedded key blob or a key blob read from a file.
004018B9,FUN_004018b9,ReleaseCryptoKeyContext,crypto/CryptoAPI,high,Destroys imported keys and releases provider.
004018F9,FUN_004018f9,ImportRsaKeyFromFile,crypto/CryptoAPI,high,Reads a bounded key file and imports it with CryptImportKey.
004019E1,FUN_004019e1,RsaDecryptBuffer,crypto/CryptoAPI,high,Calls CryptDecrypt under a critical section and copies the resulting key material.
00401A45,FUN_00401a45,ResolveCryptoApiFunctions,loader/api,high,LoadLibrary/GetProcAddress resolver for CryptoAPI functions.
00401AF6,FUN_00401af6,TryCreateWorkingDirectory,loader/install,high,"Creates base and generated subdirectory, changes CWD, attempts hidden/system attributes, optionally formats full path."
